#,Club,League,Value,Current Value,Time
1,Manchester City,Premier League,€518.00m,€1.05bn,1-Sep-16
2,Chelsea FC,Premier League,€517.30m,€1.02bn,1-Sep-16
3,Arsenal FC,Premier League,€468.50m,€890.00m,1-Sep-16
4,Liverpool FC,Premier League,€387.20m,€879.00m,1-Sep-16
5,Manchester United,Premier League,€534.25m,€795.70m,1-Sep-16
6,Tottenham Hotspur,Premier League,€365.50m,€680.30m,1-Sep-16
7,Newcastle United,Championship,€120.80m,€494.30m,1-Sep-16
8,West Ham United,Premier League,€241.50m,€451.50m,1-Sep-16
9,Leicester City,Premier League,€210.50m,€443.10m,1-Sep-16
10,Aston Villa,Championship,€84.95m,€437.00m,1-Sep-16
11,Wolverhampton Wanderers,Championship,€46.45m,€398.70m,1-Sep-16
12,Southampton FC,Premier League,€199.00m,€397.00m,1-Sep-16
13,Brighton & Hove Albion,Championship,€39.25m,€358.70m,1-Sep-16
14,Everton FC,Premier League,€239.25m,€352.90m,1-Sep-16
15,Nottingham Forest,Championship,€35.60m,€332.65m,1-Sep-16
16,Brentford FC,Championship,€18.70m,€318.10m,1-Sep-16
17,Leeds United,Championship,€26.45m,€318.00m,1-Sep-16
18,Crystal Palace,Premier League,€157.75m,€309.95m,1-Sep-16
19,Fulham FC,Championship,€49.20m,€253.50m,1-Sep-16
20,AFC Bournemouth,Premier League,€122.05m,€243.70m,1-Sep-16
1,Manchester City,Premier League,€540.25m,€1.05bn,1-Feb-17
2,Chelsea FC,Premier League,€478.80m,€1.02bn,1-Feb-17
3,Arsenal FC,Premier League,€489.50m,€890.00m,1-Feb-17
4,Liverpool FC,Premier League,€376.70m,€879.00m,1-Feb-17
5,Manchester United,Premier League,€495.00m,€795.70m,1-Feb-17
6,Tottenham Hotspur,Premier League,€370.00m,€680.30m,1-Feb-17
7,Newcastle United,Championship,€131.60m,€494.30m,1-Feb-17
8,West Ham United,Premier League,€208.40m,€451.50m,1-Feb-17
9,Leicester City,Premier League,€212.30m,€443.10m,1-Feb-17
10,Aston Villa,Championship,€84.75m,€437.00m,1-Feb-17
11,Wolverhampton Wanderers,Championship,€44.45m,€398.70m,1-Feb-17
12,Southampton FC,Premier League,€215.00m,€397.00m,1-Feb-17
13,Brighton & Hove Albion,Championship,€45.45m,€358.70m,1-Feb-17
14,Everton FC,Premier League,€244.85m,€352.90m,1-Feb-17
15,Nottingham Forest,Championship,€37.00m,€332.65m,1-Feb-17
16,Brentford FC,Championship,€24.05m,€318.10m,1-Feb-17
17,Leeds United,Championship,€35.15m,€318.00m,1-Feb-17
18,Crystal Palace,Premier League,€178.75m,€309.95m,1-Feb-17
19,Fulham FC,Championship,€49.25m,€253.50m,1-Feb-17
20,AFC Bournemouth,Premier League,€116.65m,€243.70m,1-Feb-17
1,Manchester City,Premier League,€606.75m,€1.05bn,1-Sep-17
2,Chelsea FC,Premier League,€605.90m,€1.02bn,1-Sep-17
3,Arsenal FC,Premier League,€513.00m,€890.00m,1-Sep-17
4,Liverpool FC,Premier League,€466.50m,€879.00m,1-Sep-17
5,Manchester United,Premier League,€572.75m,€795.70m,1-Sep-17
6,Tottenham Hotspur,Premier League,€499.25m,€680.30m,1-Sep-17
7,Newcastle United,Premier League,€131.25m,€494.30m,1-Sep-17
8,West Ham United,Premier League,€218.40m,€451.50m,1-Sep-17
9,Leicester City,Premier League,€227.50m,€443.10m,1-Sep-17
10,Aston Villa,Championship,€93.50m,€437.00m,1-Sep-17
11,Wolverhampton Wanderers,Championship,€67.18m,€398.70m,1-Sep-17
12,Southampton FC,Premier League,€249.60m,€397.00m,1-Sep-17
